ID,Title,Location,Salary,Summary
job_76152b2fa6809886,Back-end Developer,AITRICS서울,,"Stacks [Back-end] Language: python, golang Python Framework: Django, Bottle [Front... Language: python, golang Python Framework..."
job_f92ff70dd4351921,[NAVER Cloud] Video Conference 서비스 개발,네이버서울,,"발을 경험하신 분 - tcpdump, wireshark 등의 툴로 네트워크 및 패킷 분석 가능하신 분 - Golang, C, C++, Python, node.js, typescript 등으로 작성된 코드 및 프레임워크를 분석..."
job_ebb0bf3baf1d2bd4,[NAVER Cloud] PostgreSQL 데이터베이스 엔지니어 (DBA),네이버클라우드성남 분당구,,"PostgreSQL 데이터베이스 설계, 구축, 운영, 트러블 슈팅 능력- Backend 프로그래밍 협업 능력 ( Golang, Java 등)[우대사항] 인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바..."
job_08a2bad8cd818857,Software Engineering Director,Canonical - Jobs서울,,"Ubuntu Server, Ubuntu Desktop, and IoT. We prefer to work in Golang, Python and Rust, but we touch many languages as part..."
job_fe72ba7972e2841e,Software Engineering Manager - Canonical Fast Track,Canonical - Jobs서울,,You have deep experience with either or both Python and Golang. You may also have front-end web engineering experience...
job_335b6cdc85206ccc,DevOps/MLOps Engineer,AITRICS서울,,"Stacks [Back-end] Language: python, golang Python Framework: Django, Bottle [Front... Language: python, golang Python Framework..."
job_c2f271fbd2fa95e7,Software Engineer Intern - Korea,MOLOCO서울 강남구,,second. Current stack consists of proprietary code in Golang as well as Google Cloud Products including Bigtable and BigQuery...
job_d4fedbedf819ba56,AI 인공지능 서비스 플랫폼 개발자,코그넷나인서울 서초구,,"B2B 어플리케이션 Front-end, Back-end 구축 개발 자격요건 JAVA, Node.js, Golang 중 1가지 이상의 언어로 Back-end 개발 5년차 이상 버전 관리 시스템(Git) 사용 경험자..."
job_f38deda26266c40f,Sr Solutions Engineer,f5서울,,"one or more programming languages (Python, JavaScript, Golang, etc.) What you’ll bring: • 5 + years of related industry..."
job_0c32e6464cad3b0a,[카카오 클라우드]DBaaS(DataBase As A Service) 개발자 모집,카카오4.0성남 판교역,,"DBaaS 운영 및 유지 보수 지원자격 필수 자격 협업을 우선 가치로 유연한 커뮤니케이션이 가능하신 분 golang, python 등으로 API 기반 서비스를 구현해본 경험이 있으신 분 서비스 요구 사항을 기능으로 구현..."
